country,candy,sales
CHN,white chocolate bar,1319009
TUR,white chocolate bar,1476552
CHN,chocolate bar,3145786
USA,white chocolate bar,2719381
BRA,blueberry bubblegum,6808967
CAN,butter cookies,6967266
ITA,chocolate bar,6228625
ARE,dark chocolate bar,4935810
TUR,butter cookies,7553395
TUR,dark chocolate bar,329106
IND,chocolate bar,200771
SAU,dark chocolate bar,9605231
CHN,gummy bears,1157390
IND,blueberry bubblegum,5037975
GBR,blueberry bubblegum,1047821
DEU,butter cookies,2407941
ARE,chocolate bar,6397819
RUS,chocolate bar,6198638
FRA,chocolate cookies,2387844
BRA,butter cookies,9874160
ARE,blueberry bubblegum,8102362
USA,peanut butter pops,2363027
GBR,chocolate cookies,5910105
ARE,white chocolate bar,1334707
ARE,dark chocolate bar,2073514
ITA,blueberry bubblegum,7167330
BRA,caramel popcorn,1161752
ARE,dark chocolate bar,8998717
MEX,peanut butter pops,7301898
CAN,blueberry bubblegum,7560889
ITA,chocolate bar,9290322
CAN,peanut butter pops,4112661
BRA,chocolate bar,9701728
CHN,peanut butter pops,7866912
BRA,butter cookies,2958410
FRA,lollipops,9291165
SAU,dark chocolate bar,4751277
GBR,dark chocolate bar,8935508
TUR,lollipops,5955057
MEX,dark chocolate bar,7470274
USA,peanut butter pops,7415619
CHN,chocolate bar,3909273
ITA,caramel popcorn,9282545
USA,chocolate bar,7241161
BRA,blueberry bubblegum,263160
RUS,blueberry bubblegum,4449748
GBR,chocolate bar,1198029
USA,peanut butter pops,8730066
CAN,caramel popcorn,4760842
FRA,caramel popcorn,3836664
GBR,caramel popcorn,3356556
USA,chocolate cookies,5906137
RUS,lollipops,8289672
USA,dark chocolate bar,7406551
GBR,white chocolate bar,2261282
CAN,caramel popcorn,6011305
ITA,chocolate cookies,5896813
DEU,lollipops,2936885
SAU,chocolate cookies,822789
MEX,caramel popcorn,2294586
ARE,white chocolate bar,7480704
FRA,peanut butter pops,1386239
GBR,chocolate bar,5486096
GBR,white chocolate bar,3913716
BRA,dark chocolate bar,8799516
RUS,dark chocolate bar,896973
CHN,chocolate cookies,9216057
CHN,dark chocolate bar,6060393
ARE,butter cookies,5134353
GBR,chocolate cookies,9532798
FRA,dark chocolate bar,4835843
IND,lollipops,9697741
CHN,white chocolate bar,6243961
MEX,blueberry bubblegum,7645118
RUS,chocolate bar,6740435
TUR,chocolate cookies,9647153
BRA,gummy bears,2288162
MEX,peanut butter pops,4633052
USA,gummy bears,9122102
RUS,lollipops,7089001
MEX,chocolate bar,4442668
CHN,chocolate cookies,9387670
BRA,blueberry bubblegum,5410360
ARE,white chocolate bar,7734894
ITA,blueberry bubblegum,8074119
CAN,white chocolate bar,9795143
FRA,butter cookies,3379078
CHN,blueberry bubblegum,6367605
CAN,lollipops,1918685
CAN,white chocolate bar,6017945
CHN,chocolate bar,1531958
MEX,white chocolate bar,6091759
USA,gummy bears,8365733
GBR,chocolate cookies,8409705
FRA,peanut butter pops,5639773
RUS,butter cookies,1329044
ARE,dark chocolate bar,1747597
MEX,caramel popcorn,2931569
SAU,chocolate bar,1641464
IND,white chocolate bar,9532956
FRA,butter cookies,325787
TUR,dark chocolate bar,3854017
BRA,caramel popcorn,1263323
ITA,blueberry bubblegum,154910
GBR,butter cookies,2870372
ARE,chocolate bar,1733661
DEU,lollipops,9714140
GBR,gummy bears,5945262
ARE,lollipops,7098277
CHN,chocolate cookies,6903078
SAU,blueberry bubblegum,3709784
DEU,caramel popcorn,1057122
DEU,peanut butter pops,3880078
RUS,chocolate bar,1573445
USA,butter cookies,5514802
BRA,chocolate bar,191174
IND,gummy bears,6136503
MEX,white chocolate bar,1784984
CHN,peanut butter pops,4209941
IND,butter cookies,3230059
USA,caramel popcorn,5174878
SAU,blueberry bubblegum,743021
ITA,gummy bears,2913761
FRA,gummy bears,4704263
MEX,dark chocolate bar,7957257
GBR,chocolate cookies,8667759
GBR,lollipops,7702285
GBR,caramel popcorn,6304294
CAN,blueberry bubblegum,1782800
TUR,blueberry bubblegum,5201670
TUR,chocolate bar,2166526
USA,lollipops,2323522
MEX,chocolate bar,8176027
CHN,butter cookies,8730271
IND,blueberry bubblegum,1763366
TUR,white chocolate bar,3737217
IND,white chocolate bar,5373807
RUS,peanut butter pops,3627638
IND,dark chocolate bar,1264725
BRA,butter cookies,9357417
IND,chocolate bar,5258907
ARE,blueberry bubblegum,5202469
CHN,chocolate bar,6001478
DEU,blueberry bubblegum,7691416
BRA,butter cookies,8114148
RUS,butter cookies,2327108
RUS,butter cookies,7483031
BRA,caramel popcorn,4838555
BRA,peanut butter pops,2412359
TUR,chocolate bar,5858022
DEU,caramel popcorn,9630606
MEX,blueberry bubblegum,5300049
MEX,lollipops,1141644
USA,chocolate bar,7718237
RUS,butter cookies,4739787
BRA,dark chocolate bar,6648248
FRA,dark chocolate bar,876536
TUR,blueberry bubblegum,7587141
GBR,gummy bears,236641
ARE,peanut butter pops,9065533
IND,butter cookies,9355179
ARE,chocolate cookies,8723310
BRA,lollipops,1417473
IND,gummy bears,5110607
SAU,peanut butter pops,1906772
CAN,white chocolate bar,4117307
RUS,blueberry bubblegum,2114048
RUS,white chocolate bar,1576800
FRA,peanut butter pops,1972013
ITA,dark chocolate bar,4570294
ITA,gummy bears,6259805
DEU,caramel popcorn,9381228
CAN,chocolate bar,266728
FRA,caramel popcorn,9564524
IND,white chocolate bar,2695813
SAU,lollipops,345393
BRA,chocolate bar,981915
DEU,blueberry bubblegum,3470953
TUR,gummy bears,1808266
IND,peanut butter pops,6401716
ARE,dark chocolate bar,1928522
IND,chocolate bar,3476796
RUS,dark chocolate bar,6563876
CHN,butter cookies,4020822
SAU,caramel popcorn,2275890
CAN,peanut butter pops,5496217
CAN,chocolate bar,9419893
BRA,caramel popcorn,6192308
IND,gummy bears,8923975
FRA,dark chocolate bar,9477945
CAN,white chocolate bar,8984988
TUR,chocolate cookies,5926617
RUS,blueberry bubblegum,6688633
BRA,butter cookies,8537408
MEX,white chocolate bar,418823
ARE,dark chocolate bar,4137262
MEX,caramel popcorn,7525014
RUS,butter cookies,2465721
ARE,blueberry bubblegum,3916197
TUR,butter cookies,1547323
SAU,white chocolate bar,8898197
USA,butter cookies,3217899
IND,gummy bears,3971264
BRA,blueberry bubblegum,117140
SAU,dark chocolate bar,9315183
IND,lollipops,6491565
DEU,caramel popcorn,3788205
USA,dark chocolate bar,5583712
FRA,chocolate bar,6033424
ITA,lollipops,6976483
USA,blueberry bubblegum,7470693
MEX,dark chocolate bar,7652194
ITA,blueberry bubblegum,8291083
BRA,chocolate cookies,9896700
MEX,chocolate bar,2715743
CHN,gummy bears,4799699
TUR,chocolate bar,8006592
SAU,blueberry bubblegum,659085
RUS,butter cookies,5288658
TUR,chocolate bar,9920073
ITA,dark chocolate bar,6610100
BRA,butter cookies,2196780
ITA,gummy bears,5067460
BRA,blueberry bubblegum,9851927
GBR,peanut butter pops,943897
CHN,chocolate cookies,7580023
CAN,blueberry bubblegum,2594035
ARE,lollipops,1586655
MEX,white chocolate bar,3543017
USA,caramel popcorn,813807
IND,lollipops,7592352
ARE,chocolate cookies,2779081
CHN,gummy bears,6553061
IND,butter cookies,7804214
IND,chocolate bar,8041435
ITA,peanut butter pops,8638000
CAN,caramel popcorn,2736767
GBR,peanut butter pops,6515615
CAN,caramel popcorn,1317840
CHN,chocolate bar,6285493
CAN,white chocolate bar,1053918
TUR,dark chocolate bar,5245120
IND,peanut butter pops,2280233
MEX,peanut butter pops,6490632
DEU,chocolate bar,5808065
ITA,chocolate bar,6618658
MEX,chocolate cookies,9223848
MEX,gummy bears,2613095
CAN,gummy bears,8836687
TUR,peanut butter pops,8368040
CAN,chocolate cookies,4729392
MEX,butter cookies,7969807
RUS,chocolate cookies,1000936
DEU,white chocolate bar,9128134
SAU,chocolate cookies,2790513
TUR,caramel popcorn,403219
GBR,dark chocolate bar,6645714
FRA,caramel popcorn,5487686
TUR,butter cookies,9410610
GBR,caramel popcorn,8768977
TUR,caramel popcorn,4018721
ARE,peanut butter pops,8153821
USA,dark chocolate bar,4364727
SAU,lollipops,1580892
USA,caramel popcorn,9679113
MEX,chocolate cookies,1624553
GBR,caramel popcorn,1432697
FRA,chocolate bar,6623895
USA,chocolate cookies,5708885
ITA,white chocolate bar,2094476
CAN,white chocolate bar,3868387
FRA,chocolate bar,1871924
FRA,peanut butter pops,4465968
MEX,peanut butter pops,629937
MEX,white chocolate bar,2037761
ARE,butter cookies,5048615
USA,lollipops,1204432
SAU,caramel popcorn,6307540
ARE,blueberry bubblegum,7303222
ITA,gummy bears,2725580
DEU,chocolate cookies,3066637
CAN,white chocolate bar,3598714
SAU,lollipops,6031931
DEU,white chocolate bar,3205136
FRA,butter cookies,2935694
ARE,caramel popcorn,6247877
FRA,white chocolate bar,4240653
MEX,dark chocolate bar,8422791
CHN,white chocolate bar,6368059
MEX,blueberry bubblegum,8025175
CAN,peanut butter pops,1842646
DEU,gummy bears,6007360
IND,lollipops,7086044
ITA,chocolate cookies,2646202
ITA,chocolate bar,1318961
ITA,dark chocolate bar,4338787
ITA,gummy bears,6890392
TUR,dark chocolate bar,5668428
GBR,white chocolate bar,6692985
RUS,chocolate cookies,7344106
TUR,butter cookies,1741267
SAU,gummy bears,7634176
DEU,chocolate cookies,1322651
USA,peanut butter pops,7527940
SAU,lollipops,5492212
TUR,caramel popcorn,5050833
IND,lollipops,7546141
GBR,chocolate bar,6043073
CHN,caramel popcorn,2459161
ARE,white chocolate bar,1754256
RUS,butter cookies,3888408
CHN,dark chocolate bar,5022516
FRA,lollipops,6944791
MEX,lollipops,2817390
FRA,lollipops,5024944
GBR,gummy bears,686299
BRA,lollipops,5548723
IND,lollipops,9363310
TUR,dark chocolate bar,9655087
SAU,butter cookies,6117048
USA,gummy bears,8342231
IND,white chocolate bar,6511230
DEU,dark chocolate bar,6685411
RUS,butter cookies,3993997
USA,caramel popcorn,5467038
GBR,dark chocolate bar,1857951
USA,caramel popcorn,1242326
CAN,caramel popcorn,4959199
USA,gummy bears,4792474
TUR,butter cookies,2103396
FRA,lollipops,1745872
RUS,white chocolate bar,5515712
SAU,peanut butter pops,723968
CAN,chocolate cookies,7973238
ARE,dark chocolate bar,8064708
IND,peanut butter pops,6650795
FRA,caramel popcorn,7307304
ITA,gummy bears,2183560
IND,chocolate bar,7380438
BRA,gummy bears,4668666
TUR,white chocolate bar,6978226
SAU,butter cookies,9928980
DEU,chocolate cookies,7678811
RUS,white chocolate bar,2292305
DEU,chocolate bar,5681823
MEX,peanut butter pops,2097562
CAN,chocolate bar,7792679
BRA,chocolate cookies,2462705
CAN,lollipops,2484468
FRA,peanut butter pops,6735143
SAU,chocolate bar,2927218
BRA,lollipops,6924112
CHN,gummy bears,7328643
IND,lollipops,3071323
FRA,blueberry bubblegum,1210328
DEU,blueberry bubblegum,8233299
GBR,gummy bears,4332254
DEU,chocolate cookies,9888968
FRA,lollipops,1123118
FRA,gummy bears,5021633
MEX,butter cookies,8110010
ITA,butter cookies,4722978
TUR,caramel popcorn,9239156
FRA,caramel popcorn,1826374
BRA,chocolate bar,1081750
ITA,lollipops,6660884
GBR,peanut butter pops,7555787
IND,butter cookies,6163979
CHN,caramel popcorn,5285597
GBR,gummy bears,6815279
ITA,blueberry bubblegum,6678303
IND,chocolate bar,2748286
SAU,peanut butter pops,9444662
FRA,dark chocolate bar,4155703
CHN,chocolate bar,8025467
USA,peanut butter pops,2041111
CHN,white chocolate bar,7731981
ITA,peanut butter pops,4859635
GBR,chocolate cookies,3849691
TUR,caramel popcorn,2169810
ITA,caramel popcorn,6093946
BRA,peanut butter pops,8522666
SAU,peanut butter pops,1479029
USA,blueberry bubblegum,9229361
GBR,dark chocolate bar,4761589
DEU,chocolate bar,4496981
FRA,butter cookies,350767
DEU,gummy bears,3487645
GBR,white chocolate bar,6203843
MEX,gummy bears,9888906
CHN,chocolate bar,4308244
CAN,lollipops,5921049
BRA,blueberry bubblegum,3359440
MEX,chocolate bar,7986912
USA,caramel popcorn,3326298
USA,lollipops,8597052
DEU,chocolate cookies,1944590
CHN,lollipops,4032010
SAU,caramel popcorn,4822866
ITA,butter cookies,5694815
TUR,dark chocolate bar,3974776
TUR,caramel popcorn,8361358
RUS,butter cookies,2713439
BRA,chocolate bar,1054442
TUR,lollipops,1969509
ITA,gummy bears,3634429
GBR,gummy bears,6971211
DEU,gummy bears,8339441
CHN,lollipops,747948
TUR,butter cookies,9222005
USA,white chocolate bar,7959068
CAN,peanut butter pops,6045714
ITA,butter cookies,9687874
USA,caramel popcorn,1827585
GBR,lollipops,1969200
ITA,butter cookies,8051986
ITA,caramel popcorn,4702821
ITA,chocolate cookies,5016336
BRA,blueberry bubblegum,5367783
BRA,dark chocolate bar,9317088
DEU,lollipops,4315167
GBR,chocolate cookies,8400836
FRA,chocolate cookies,2611492
CHN,peanut butter pops,7135309
RUS,gummy bears,873474
GBR,white chocolate bar,9189775
MEX,chocolate cookies,2847406
ARE,lollipops,9416001
DEU,gummy bears,292059
TUR,caramel popcorn,6202670
FRA,dark chocolate bar,2570172
CHN,butter cookies,6431205
RUS,dark chocolate bar,9264097
ITA,chocolate cookies,7758236
GBR,chocolate bar,3508099
TUR,dark chocolate bar,7357720
ITA,peanut butter pops,7053205
CHN,lollipops,2821249
CHN,white chocolate bar,1375824
USA,chocolate bar,211613
BRA,dark chocolate bar,9444933
GBR,blueberry bubblegum,510931
SAU,chocolate bar,6791407
ITA,blueberry bubblegum,4139315
IND,peanut butter pops,9546385
USA,caramel popcorn,7426516
CAN,butter cookies,1262677
USA,butter cookies,3022143
ARE,white chocolate bar,6895820
CHN,lollipops,3527647
TUR,chocolate bar,9174635
CHN,gummy bears,6035531
MEX,dark chocolate bar,2896080
TUR,lollipops,5268292
TUR,dark chocolate bar,1832031
CHN,peanut butter pops,1001941
TUR,white chocolate bar,969018
IND,chocolate bar,6118701
ARE,lollipops,3502785
GBR,gummy bears,7053251
ARE,gummy bears,5960220
USA,chocolate bar,9614777
ARE,butter cookies,5809176
MEX,butter cookies,6776050
BRA,chocolate bar,6692307
ITA,white chocolate bar,710869
GBR,white chocolate bar,8438031
BRA,lollipops,1059303
RUS,gummy bears,993961
TUR,peanut butter pops,9919711
TUR,caramel popcorn,7266978
GBR,gummy bears,8529683
ITA,caramel popcorn,8947014
SAU,caramel popcorn,5142782
CHN,chocolate cookies,3034511
RUS,gummy bears,9433155
USA,lollipops,5973738
ARE,butter cookies,6164924
DEU,gummy bears,1055938
USA,white chocolate bar,7171942
FRA,peanut butter pops,9665123
RUS,dark chocolate bar,8572511
TUR,chocolate cookies,8342951
BRA,chocolate cookies,3106045
GBR,caramel popcorn,8335345
CHN,butter cookies,7589009
USA,blueberry bubblegum,4287315
RUS,white chocolate bar,9062040
BRA,chocolate bar,7150299
USA,peanut butter pops,353577
CHN,blueberry bubblegum,3721418
BRA,chocolate cookies,5235057
CHN,dark chocolate bar,2868836
DEU,caramel popcorn,7082406
USA,caramel popcorn,2765901
ARE,lollipops,4113371
BRA,gummy bears,5848883
ARE,chocolate bar,6528240
DEU,chocolate cookies,256992
GBR,chocolate bar,3321328
USA,chocolate cookies,242934
BRA,blueberry bubblegum,7736358
MEX,butter cookies,481146
ITA,peanut butter pops,1574621
RUS,white chocolate bar,8359286
ARE,caramel popcorn,1896840
CAN,butter cookies,5941621
MEX,blueberry bubblegum,1450244
FRA,dark chocolate bar,965793
MEX,chocolate cookies,3397421
RUS,dark chocolate bar,3391790
BRA,butter cookies,641605
IND,lollipops,2980442
ITA,peanut butter pops,6717324
IND,butter cookies,5515105
SAU,blueberry bubblegum,1842185
CAN,white chocolate bar,1294561
SAU,gummy bears,7343331
DEU,chocolate cookies,2008020
IND,blueberry bubblegum,8187262
DEU,white chocolate bar,5920608
TUR,caramel popcorn,1235122
CHN,dark chocolate bar,380262
SAU,chocolate cookies,7451281
SAU,gummy bears,2673336
DEU,white chocolate bar,7720973
MEX,chocolate bar,3759051
USA,white chocolate bar,6639036
SAU,peanut butter pops,3556469
CAN,chocolate cookies,8795857
IND,chocolate cookies,519962
GBR,caramel popcorn,801461
TUR,gummy bears,5694878
CAN,chocolate bar,5667108
ITA,blueberry bubblegum,8550393
USA,peanut butter pops,4715926
IND,peanut butter pops,5716428
FRA,peanut butter pops,4920095
SAU,gummy bears,2208967
CAN,chocolate bar,5613602
GBR,chocolate bar,7652649
SAU,blueberry bubblegum,4187658
CHN,lollipops,9644520
ARE,dark chocolate bar,6579252
IND,blueberry bubblegum,7308936
IND,chocolate bar,8752068
TUR,blueberry bubblegum,2948546
RUS,caramel popcorn,3392653
GBR,gummy bears,4601593
MEX,chocolate cookies,2126594
RUS,chocolate cookies,8306140
CHN,blueberry bubblegum,7589667
IND,peanut butter pops,889640
FRA,chocolate cookies,6954503
CAN,peanut butter pops,8463220
USA,caramel popcorn,1501114
ARE,gummy bears,2206420
ITA,chocolate bar,9821868
ARE,caramel popcorn,5271852
BRA,chocolate cookies,3050281
FRA,dark chocolate bar,1077351
TUR,caramel popcorn,7066962
ARE,dark chocolate bar,5019188
GBR,peanut butter pops,1080734
CAN,chocolate cookies,2051951
RUS,blueberry bubblegum,9405880
TUR,blueberry bubblegum,2346119
IND,chocolate bar,2610488
ITA,lollipops,2565784
IND,butter cookies,3692795
CHN,chocolate bar,1033819
TUR,gummy bears,7992426
GBR,gummy bears,3317540
RUS,gummy bears,9762897
GBR,caramel popcorn,2164656
IND,white chocolate bar,1876142
IND,peanut butter pops,5453122
TUR,gummy bears,5521558
IND,butter cookies,316434
CAN,gummy bears,2688300
IND,caramel popcorn,2749507
MEX,caramel popcorn,6008428
RUS,chocolate cookies,7914102
FRA,lollipops,6932047
ARE,butter cookies,2510367
IND,white chocolate bar,8563100
TUR,chocolate cookies,8880508
RUS,chocolate cookies,1814481
CHN,lollipops,6440381
BRA,caramel popcorn,1781059
IND,peanut butter pops,5984964
TUR,caramel popcorn,4663165
DEU,gummy bears,5329917
BRA,gummy bears,9156156
IND,gummy bears,7189439
FRA,chocolate bar,5616422
USA,dark chocolate bar,823886
BRA,gummy bears,1197184
MEX,chocolate cookies,5684194
USA,chocolate bar,3516232
MEX,caramel popcorn,1522295
MEX,blueberry bubblegum,6449604
DEU,dark chocolate bar,1602041
IND,lollipops,5905646
USA,peanut butter pops,4829956
ITA,chocolate cookies,3741825
CAN,butter cookies,3562879
CHN,peanut butter pops,3680389
USA,caramel popcorn,3268965
FRA,chocolate cookies,2538434
USA,butter cookies,640732
MEX,blueberry bubblegum,5475277
CHN,lollipops,8966054
RUS,gummy bears,4785135
ARE,peanut butter pops,4556494
MEX,gummy bears,1284418
FRA,lollipops,3926006
USA,dark chocolate bar,8784029
GBR,blueberry bubblegum,1744555
CAN,peanut butter pops,3245658
ARE,white chocolate bar,8798073
BRA,chocolate cookies,1197488
ARE,white chocolate bar,4196448
IND,lollipops,8787760
ARE,peanut butter pops,5577121
GBR,chocolate bar,3398333
CAN,gummy bears,5979421
GBR,gummy bears,8164572
CAN,butter cookies,1278759
RUS,peanut butter pops,2425695
BRA,dark chocolate bar,9768557
RUS,blueberry bubblegum,4268052
DEU,gummy bears,5018026
RUS,blueberry bubblegum,2934326
DEU,dark chocolate bar,5199561
MEX,dark chocolate bar,1039239
FRA,white chocolate bar,734277
USA,gummy bears,8010337
CHN,gummy bears,1863400
TUR,peanut butter pops,1516523
GBR,dark chocolate bar,6471370
MEX,chocolate bar,5468944
ITA,white chocolate bar,499036
MEX,chocolate bar,6430779
IND,caramel popcorn,7735958
FRA,gummy bears,7445284
CHN,chocolate bar,1671928
MEX,chocolate bar,6582418
RUS,white chocolate bar,6172003
CHN,dark chocolate bar,6664710
SAU,lollipops,2676852
DEU,dark chocolate bar,4951014
DEU,dark chocolate bar,8693401
MEX,butter cookies,8434587
IND,butter cookies,3027055
GBR,chocolate bar,8856904
BRA,chocolate bar,3389911
USA,peanut butter pops,8251535
DEU,chocolate cookies,9777821
USA,peanut butter pops,1923925
RUS,dark chocolate bar,2929864
FRA,chocolate cookies,3576361
SAU,lollipops,1834827
ITA,dark chocolate bar,5075243
CHN,lollipops,1939347
DEU,white chocolate bar,9129995
ARE,lollipops,3169008
MEX,peanut butter pops,6999765
DEU,dark chocolate bar,1106256
FRA,chocolate cookies,9354184
ITA,chocolate bar,2702774
CHN,lollipops,1146744
GBR,dark chocolate bar,3794457
RUS,caramel popcorn,7599976
CAN,butter cookies,1633136
DEU,white chocolate bar,6558056
SAU,lollipops,2252873
USA,blueberry bubblegum,3515628
TUR,peanut butter pops,9558470
TUR,dark chocolate bar,3665146
GBR,blueberry bubblegum,5592541
ARE,caramel popcorn,3744506
DEU,peanut butter pops,2071789
GBR,chocolate cookies,7853221
CHN,lollipops,8819235
CAN,butter cookies,1606536
SAU,caramel popcorn,8595346
TUR,butter cookies,4467357
ITA,white chocolate bar,6627424
DEU,chocolate bar,911189
USA,white chocolate bar,7456256
IND,chocolate bar,2063192
RUS,white chocolate bar,4199762
MEX,blueberry bubblegum,7374623
MEX,blueberry bubblegum,9460373
MEX,white chocolate bar,6985369
ARE,caramel popcorn,9413379
MEX,dark chocolate bar,4883185
RUS,peanut butter pops,6870916
IND,caramel popcorn,7527739
IND,dark chocolate bar,7939969
BRA,caramel popcorn,9471919
GBR,white chocolate bar,7210531
ITA,white chocolate bar,1408839
ARE,lollipops,8953876
TUR,caramel popcorn,2242682
IND,white chocolate bar,4511741
ARE,white chocolate bar,167458
IND,chocolate bar,6938638
USA,lollipops,6242999
DEU,butter cookies,9886012
DEU,butter cookies,973465
FRA,caramel popcorn,4462004
MEX,peanut butter pops,4491900
ITA,dark chocolate bar,1346582
SAU,blueberry bubblegum,1699042
IND,gummy bears,9685732
ARE,chocolate cookies,4794012
GBR,chocolate cookies,360365
CHN,peanut butter pops,4023441
CHN,blueberry bubblegum,2871676
CAN,gummy bears,2287945
GBR,caramel popcorn,1648267
RUS,blueberry bubblegum,8016670
ITA,chocolate cookies,7649201
GBR,gummy bears,5876767
GBR,chocolate bar,8465090
CHN,blueberry bubblegum,8780001
ARE,butter cookies,6767934
IND,peanut butter pops,9683584
ITA,caramel popcorn,7727327
MEX,lollipops,8862287
ARE,lollipops,7124473
IND,lollipops,695293
ITA,gummy bears,7041586
DEU,caramel popcorn,3197088
ARE,butter cookies,1008587
SAU,caramel popcorn,8730934
ITA,caramel popcorn,8383011
CHN,butter cookies,6499502
TUR,chocolate cookies,976827
SAU,butter cookies,4167777
RUS,lollipops,9236587
ARE,butter cookies,6446598
USA,chocolate cookies,3016215
CHN,butter cookies,4260073
RUS,peanut butter pops,9974539
BRA,lollipops,7127827
FRA,white chocolate bar,1745263
DEU,lollipops,6694809
SAU,peanut butter pops,4375805
BRA,caramel popcorn,502713
RUS,dark chocolate bar,4582808
CHN,caramel popcorn,9418624
DEU,dark chocolate bar,4474480
ITA,white chocolate bar,8788660
IND,white chocolate bar,6082936
USA,butter cookies,6141356
CAN,lollipops,7816641
DEU,gummy bears,9017578
DEU,gummy bears,4871302
GBR,lollipops,6113266
CAN,white chocolate bar,1348654
ITA,butter cookies,1364549
FRA,white chocolate bar,2798546
USA,blueberry bubblegum,5902131
RUS,lollipops,6423742
IND,chocolate bar,5472147
CHN,chocolate cookies,6809285
CAN,lollipops,2844599
BRA,chocolate bar,8997426
BRA,butter cookies,9474074
TUR,blueberry bubblegum,8477720
IND,gummy bears,7480147
RUS,chocolate bar,9673885
BRA,gummy bears,8125348
ARE,caramel popcorn,1990537
IND,chocolate bar,8816271
MEX,chocolate bar,8929996
IND,chocolate bar,4151394
IND,white chocolate bar,412585
DEU,chocolate cookies,5841843
SAU,chocolate cookies,2586750
GBR,white chocolate bar,594021
SAU,peanut butter pops,1609130
SAU,chocolate cookies,5983504
ARE,white chocolate bar,9732615
BRA,blueberry bubblegum,202573
MEX,caramel popcorn,1143931
DEU,blueberry bubblegum,8981577
ITA,white chocolate bar,5065465
IND,chocolate cookies,627453
ARE,lollipops,5967076
RUS,blueberry bubblegum,9739111
CHN,caramel popcorn,9503009
RUS,dark chocolate bar,6546745
CHN,dark chocolate bar,7271502
SAU,caramel popcorn,7617666
CAN,gummy bears,2797642
ARE,chocolate cookies,6932298
MEX,white chocolate bar,6516891
ARE,butter cookies,2653602
MEX,gummy bears,3234634
DEU,chocolate bar,523815
MEX,blueberry bubblegum,6541460
IND,blueberry bubblegum,5565657
TUR,peanut butter pops,6055054
RUS,butter cookies,6655005
CHN,lollipops,400321
SAU,blueberry bubblegum,3937505
CAN,blueberry bubblegum,2164209
SAU,white chocolate bar,4943163
